i,j,k_index,velocity,sigma,SNR,R,Hbeta_flux,Hbeta_SNR,[OIII]5007_flux,[OIII]5007_SNR,Hbeta_index,Fe5015_index,Mgb_index
4,27,375,21.238044536177554,-50.16863171367456,2.8925125935118188,0.006129588315087429,51.56566253825181,2.143658139036268,11.151933803080448,0.3387522105001342,2.554545930030595,2.1278682372956483,1.7637271181044085
4,28,376,21.47954572925095,18.652267176544605,2.8689473602743876,0.006060765145387071,40.37628477195588,5.333704204672807,22.59499581135432,2.220516532985827,1.8092269221776398,3.6369581213344127,1.9283973922012394
4,29,377,4.2767038311469445,-6.116580492445676,2.8955937368601385,0.005995525961548712,46.063873923251954,5.673242012487804,11.966787778056654,1.0861338623672603,3.9447481679372993,2.232361219026592,1.7930400205036197
4,30,378,7.4156565592745425,-8.338774358619576,2.8006729568965367,0.0059339889734010675,51.64869846370971,6.76188244991539,13.618191530362136,1.3218704064749325,5.5536679419305965,4.624014176251608,1.3674024778452578
4,31,379,15.635654053500676,-0.058317406310395614,3.044911982508965,0.005876270491557276,48.89559800893745,6.479281094906524,11.67871587110817,1.159727574255877,3.2797959763174527,2.7323767049716476,0.7407998931782094
4,32,380,-17.985052030225603,-0.500759745800523,3.0188038209345853,0.005822484076095434,44.47009984157657,5.733529390582644,10.294582800578885,0.9935700876826346,5.663245912628664,0.1934260214421274,4.641340063957996
4,33,381,13.651252608406876,1.3366905672248734,3.076256162002221,0.005772739636917315,63.09462841400443,8.304156122306502,13.457611359624623,1.3246116089173618,5.216913394347783,5.280801228372799,3.858834584637397
4,34,382,21.9336141412369,-3.2285409229799105,2.73474479879014,0.0057271424975866,67.78272818638918,8.402430075515804,7.0171374015247485,0.6467441346962269,4.397377555159979,0.3792563793585443,2.0337586044455738
4,35,383,-3.842643600022752,-4.657512388097213,2.7341233224455483,0.005685792436625341,48.978446108056595,6.318738278827421,7.395258659022882,0.7067676572910225,3.6800524184368273,1.5359300075978268,-3.3106259274433594
4,36,384,-23.689256785913035,-3.6707020617985844,2.7025857341225383,0.005648782722853609,25.542166469046233,3.2706763043618126,1.3487275929183304,0.1282632842018268,3.488506701578382,0.12401080937797859,-0.6618055493038565
4,37,385,49.362133670239885,23.74975684387597,2.7671242345449807,0.005616199163174887,28.709383821572082,2.629557397765358,7.2573308869254785,0.4899742647090999,4.72295322824416,1.926317852241902,3.093423859512921
4,38,386,15.288270030842702,44.40411826671879,2.8234226551869877,0.005588119183015755,17.67552848578961,1.6033824899583038,0.0,0.0,2.7987077693194027,2.402680391051854,3.0594339236744865
